,titles,,
33,"[도쿄올림픽] 韓 선수단, 일본 도쿄 땅 밟았다…""종합 10위 목표""||||도쿄올림픽 선수단 본진 출국, '대한민국 파이팅~' [TF사진관]||||靑 ""文 대통령 도쿄올림픽 불참, 우리 선수단 선전 기대""||||도쿄올림픽 선수단 출국…금메달 7개 이상·종합 10위 목표||||[도쿄올림픽]대한민국 선수단 본진, '결전의 땅' 도쿄 도착",,
34,"서울 고대구로병원서 기한 임박-초과 화이자 백신 140여명에 접종(종합)||||고대구로병원, 140명에 '기한 지난 화이자' 주사…질병청 ""재접종 검토""(종합)||||서울 고대구로병원서 접종 권고 기한 지난 화이자 백신 140여명에 접종||||고대구로병원, '접종 기한' 지난 화이자 백신 147명 접종||||고대구로병원서 권고기한 넘긴 화이자백신 140여명 접종",'140명'||||'147명','140'||||'147'
35,"도지코인 정말 1달러 가나…50% 폭등해 60센트 돌파(종합3)||||도지코인 51% 폭등으로 60센트 돌파…시총 4위||||가상화폐 비트코인 -1.31% 하락, 도지코인 29.13% 상승||||무섭게 짖는 도지코인···36% 폭등해 53센트도 뚫었다||||'600원' 신고점 경신한 도지코인",'50%'||||'51%'||||'-1.31%'||||'29.13%'||||'36%','50'||||'51'||||'-1.31'||||'29.13'||||'36'
36,"[단독] '고의 충돌' 의혹, 조재범이 석 달 전 빙상연맹에 진정||||'심석희 카톡' 조재범이 두달전 진정…빙상연맹은 뭉갰다||||심석희 '고의 충돌' 의혹, 조재범이 두달 전 진정…조치 없었다||||조재범, 심석희 '고의 충돌 의혹' 3달 전 빙상연맹에 진정||||[단독] '고의 충돌' 의혹, 조재범이 3달 전 빙상연맹에 진정",,
37,"""오미크론, 3차접종자엔 계절독감…독감으로 연 3천~5천명 사망""(종합2보)||||정부 ""3차 접종자 오미크론 치명률 0.08%, 계절독감과 같아""||||3차접종자 오미크론 치명률 '0.08%'…당국 ""계절독감과 유사한 수준""||||""부스터샷 맞으면 오미크론 치명률 '계절독감' 수준""||||정부 ""3차 접종시 오미크론 치명률 0.08%···계절독감 수준""",'5천명'||||'0.08%'||||'0.08%'||||'0.08%',"'5,000'||||'0.08'||||'0.08'||||'0.08'"
38,"서울 내 집 마련 17.6년 걸려…文정부서 6년9개월 늘었다||||서울 집값 평균 9억 돌파했지만…강남마저 '하락' 전망 많아져||||서울서 집 사려면 월급 17.6년 모아야…文 정부 들어 6.9년↑||||서울 중산층, 월급 17.6년 모아야 내 집 마련…文정부서 6년9개월 늘었다||||금리 오르고 집 값 상승 기대 꺾이자…사상 최고치 찍은 월세 지수 [부동산360]",,
39,"""집사는 돈 어디서 났나?""…규제지역 오늘(27일)부터 '자금출처 조사'||||""돈 출처 증명하라""…오늘부터 서울 집 사기 까다로워진다||||""집사는 돈 어디서?""…규제지역 오늘부터 '자금조달계획서'||||""돈 어디서 났죠?""…오늘부터 서울서 집 살때 '자금조달계획서' 내야||||자금조달계획서 제출 의무화, 대전 집값 잡을까?",,
40,"[날씨] 전국 맑다가 오후부터 흐려져…곳곳 비 소식||||[날씨] 전국 빗방울 계속…서울 낮 27도 · 대구 28도||||[30일 날씨] 서해안 오후부터 최대 100㎜…한낮 25도 더위(종합)||||[날씨] 일요일 밤부터 중부 중심 강한 비…교통안전유의||||[주말 날씨] 일요일, 초여름 날씨…낮 기온 25도 이상",,
41,"[올림픽] ""장례식장 같았다""…해외 팬들 '역대 최악' 개회식 평가||||감염 걱정 속 올림픽 개회식…텅 빈 관람석, 밖에선 항의 시위||||[현장] 개회식 한창인데 ""올림픽 반대""…도쿄 혼돈의 밤||||오사카 나오미 ""개회식 성화 최종 점화자, 최고의 업적""||||냉기 감도는 도쿄올림픽 개회식…시민들 ""당장 중지를"" 시위·가두행진",,
42,"'마우스' 이승기,  OZ 배후 추적…정애리 만났다 '충격' [종합]||||'마우스' 이승기, 정애리=OZ 최상위 프레데터? ""조재윤이 살인 의뢰""[★밤TView]||||[종합] 드라마 '마우스' 마지막회 예고 無…청와대 비서실장(정애리), 최상위 프레데터||||[종합] '마우스' 한애리-이승기 만났다…""이 사람이 최상위 프레데터라고 생각하면 돼."" 조재윤의 말뜻은?||||'마우스' 이승기, 강말금 찾아가 진실 추궁 ""누구야""[별별TV]",,
43,"[종합] '미우새' 김희철X산다라박X이호철, 임채무 놀이공원 방문||||""빚 160억""…김희철, 리모델링한 임채무 두리랜드 방문 (미우새) [종합]||||임채무, ""두리랜드 빛 160억…아이들 보면 행복해""||||'미우새' 오민석, 박수홍 '깔세 하우스' 입주→단체 집들이[별별TV]||||'미우새' 김승우 ""별명 꽁승우, 김남주와 다툴 것 같으면 아예 말 안 해""[종합]",,
44,"'놀면 뭐하니?' 유재석→이영지, 심쿵 ♥배달 예고…조병규 분량은 대폭 축소(종합)||||""유재석 원픽 확정?"" 이영지, '동거동락' MVP→'H&H'에도 등장 ('놀면뭐하니?') [종합]||||'놀면 뭐하니' 동거동락 MVP=이영지, 짝사랑男 고백썰…홍현희 ""첫사랑=차태현""[종합]||||이영지, '2021 동거동락' MVP 이후 재등장…유재석 라인 합류? (놀면 뭐하니?) [종합]||||'놀면 뭐하니?' 제시, 퀴즈 열정에 진심…탁재훈·조세호에 ""비 콰이어트""",,
45,"'군검사 도베르만' 안보현, 김우석 앞 본색 드러내…김영민, 조보아 정체 눈치채 (종합)||||'군검사 도베르만' 안보현X조보아, 오연수에 당했다…상대는 상상 이상의 괴물[종합]||||'도베르만' 오연수, 子김우석 사건 두고 단호 ""원칙으로 처벌""[별별TV]||||'군검사 도베르만' 오연수, 남경읍에 ""子 김우석 일…군복 걸겠다""||||'군검사 도베르만' 남경읍, 오연수에 분노…""내가 개 망신을 당했어""",,
46,"박소담, 갑상선 유두암 진단 ""수술 마쳐, 회복 집중할 것""[공식입장 전문]||||박소담, 갑상선 유두암 진단…소속사 ""수술 후 회복중"" [공식]||||박소담, 갑상선 유두암으로 수술…'특송' 홍보활동 불참||||박소담 갑상선 유두암 진단…""수술 후 회복 중""[전문]||||박소담 측, ""갑상선 유두암 수술 마쳐…'특송' 홍보 활동 불참"" (공식입장)",,
47,"민주 신임 원내대변인에 오영환·이수진…전략부대표 고민정(종합)||||민주당, 신임 원내대변인에 이수진·오영환···전략부대표는 고민정||||민주 원내대변인에 오영환·이수진…전략 부대표에 고민정(종합)||||민주당 원내대변인에 오영환·이수진…전략 부대표에 고민정||||민주 원내대변인에 오영환·이수진…전략 부대표 고민정",,
48,"'연모' 남윤수, 박은빈에 '여인의 길' 권했다…""궐 떠나도 지킬 것"" 애틋[종합]||||[종합]'연모' 박은빈, 폐세자 될 위기 중 받은 꽃신…이필모에게 정체 들킬까||||'연모' 박은빈, 이필모에 정체 들키나…위기 직면 [★밤TView]||||'연모' 박은빈, 로운 향한 그리움…추억 떠올리며 '눈물 글썽'||||'연모' 박은빈, 김서하 목에 칼 겨누며 분노 ""속죄의 절 올려라""",,
49,"""남아공발 변이 바이러스에 현재 백신 효과 없을 수도""||||美·남아공 연구진 ""기존 백신 남아공 변이 코로나에 취약할 수도""||||美파우치도 인정 ""남아공 변이 바이러스, 백신 무력화 가능성""||||""남아공 변이 코로나19 바이러스, 기존 백신 효과 없을 수도""||||""남아공 변이 바이러스, 기존 백신 효과 없을 수도""",,
